"seed","N","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
8,60,"random",1,0.8125,0.869375611279942,2.55444551334235,0.508310128165086
8,60,"maximin",0.8,1,0.848528137423857,2.64601152615359,0.548282490242846
8,60,"dopt",0.941176470588235,1,0.957938964038696,2.50998358717775,0.374431741742641
9,12,"random",0.571428571428571,0.25,0.239045721866879,4.72456101563775,1.69279537564507
9,12,"maximin",0.5,0.3125,0.221162934232346,2.61458132797764,0.328552819605417
9,12,"dopt",0.8,0.25,0.356453115471603,3.25271218664586,0.46351160518254
9,16,"random",1,0.25,0.438529009653515,3.89725774626572,0.619008090232982
9,16,"maximin",0.8,0.75,0.688582850108405,2.58406185073766,0.494664841033335
9,16,"dopt",0.846153846153846,0.6875,0.682125479619647,2.84690801708709,0.527562737928042
9,20,"random",0.875,0.4375,0.53253521010352,2.76404208551661,0.566471750607969
9,20,"maximin",0.8125,0.8125,0.7375,2.69809090330721,0.509893771471286
9,20,"dopt",0.866666666666667,0.8125,0.777843589937273,2.72714973154188,0.342586151299265
9,30,"random",0.923076923076923,0.75,0.775750545449794,2.6519362460577,0.624942660471339
9,30,"maximin",0.933333333333333,0.875,0.86710432976614,2.62647886659468,0.561024854588777
9,30,"dopt",1,0.8125,0.869375611279942,2.43131900545666,0.273890786684238
9,40,"random",0.823529411764706,0.875,0.78600120126252,2.35844885041305,0.369301438183364
9,40,"maximin",0.833333333333333,0.9375,0.834297687626513,2.500962034171,0.437988642889004
9,40,"dopt",0.833333333333333,0.9375,0.834297687626513,2.48300013193673,0.32163035208554
9,60,"random",0.875,0.875,0.825,2.4496372415183,0.516609309883369
9,60,"maximin",0.888888888888889,1,0.918936583472681,2.58911729621691,0.434229214789445
9,60,"dopt",0.888888888888889,1,0.918936583472681,2.47973912196989,0.366061890544832
10,12,"random",0.375,0.1875,0.0806871530459878,2.99076920011456,1.22114757223431
10,12,"maximin",0.8,0.25,0.356453115471603,2.74888224731745,0.501874034436717
10,12,"dopt",0.521739130434783,0.75,0.436176947328449,4.17345486904113,1.4842138249376
10,16,"random",0.714285714285714,0.3125,0.358568582800318,2.92133836792085,1.3765253104668
10,16,"maximin",0.846153846153846,0.6875,0.682125479619647,2.76706315954311,0.640058588767995
10,16,"dopt",0.8125,0.8125,0.7375,2.39502959114595,0.357021885249403
10,20,"random",1,0.5,0.645497224367903,2.54374900267403,0.698596839910044
10,20,"maximin",1,1,1,2.74703797044239,0.698242530102531
10,20,"dopt",0.705882352941177,0.75,0.614063438486343,2.55566640955406,0.607266100148624
10,30,"random",0.8125,0.8125,0.7375,2.57726816155597,0.66790405887442
10,30,"maximin",0.842105263157895,1,0.882579950158088,2.40526210719903,0.566616322321278
10,30,"dopt",0.823529411764706,0.875,0.78600120126252,2.39609547973648,0.457447388211443
10,40,"random",0.842105263157895,1,0.882579950158088,2.57125597984877,0.737206455216792
10,40,"maximin",0.888888888888889,1,0.918936583472681,2.47218231428494,0.552804455325783
10,40,"dopt",0.8,1,0.848528137423857,2.3856017928078,0.479644047383838
10,60,"random",0.9375,0.9375,0.9125,2.41391709268788,0.544450084591154
10,60,"maximin",1,1,1,2.29298516963053,0.245811983868982
10,60,"dopt",0.941176470588235,1,0.957938964038696,2.23153095632832,0.232470198581086
11,12,"random",1,0.125,0.304290309725092,4.12687219615167,1.12528387328991
11,12,"maximin",0.5,0.375,0.247716847153431,4.02912910814608,1.68694974534066
11,12,"dopt",0.75,0.1875,0.285043856274785,3.17354379945432,0.747334736914316
11,16,"random",0.833333333333333,0.3125,0.419920627420627,2.75209285565505,0.894044265126002
11,16,"maximin",1,0.75,0.82572282384477,2.88947345464125,1.00346147150383
11,16,"dopt",0.785714285714286,0.6875,0.639009650422694,2.66620769476823,0.781547752254123
11,20,"random",0.888888888888889,0.5,0.58426976508496,3.30628914541529,1.18296736609688
11,20,"maximin",0.8,0.5,0.53079104215763,3.19893075066793,1.05785283573594
11,20,"dopt",0.823529411764706,0.875,0.78600120126252,2.55442605209257,0.551869165618854
11,30,"random",0.9,0.5625,0.634000411466058,3.11739451169392,0.725457179106107
11,30,"maximin",0.8,0.75,0.688582850108405,2.50552235750732,0.598759977419928
11,30,"dopt",0.833333333333333,0.9375,0.834297687626513,3.04057765166707,0.467182739441543
11,40,"random",0.761904761904762,1,0.816496580927726,2.66489316663191,0.661752728008541
11,40,"maximin",0.888888888888889,1,0.918936583472681,2.74503141904246,0.77425422797527
11,40,"dopt",0.933333333333333,0.875,0.86710432976614,2.62984044057355,0.680831053228468
11,60,"random",0.9375,0.9375,0.9125,2.60672194514215,0.845937998793039
11,60,"maximin",0.842105263157895,1,0.882579950158088,2.57662663329168,0.51839621313568
11,60,"dopt",0.941176470588235,1,0.957938964038696,2.38154223393564,0.322672293274764
12,12,"random",0,0,-0.0852802865422442,5.68374966266336,1.28300247009919
12,12,"maximin",0.636363636363636,0.4375,0.383761289440099,3.63047457697024,1.46826944443099
12,12,"dopt",0.5,0.25,0.193649167310371,3.29925659319855,0.889341981533918
12,16,"random",1,0.375,0.547722557505166,3.81045111607401,1.4145082025382
12,16,"maximin",0.75,0.5625,0.536719835499101,3.35827708246029,0.621760997682631
12,16,"dopt",0.666666666666667,0.5,0.440385506050544,3.45915586398169,0.860767670903636
12,20,"random",1,0.375,0.547722557505166,3.90189048376517,1.5946802338425
12,20,"maximin",0.8125,0.8125,0.7375,3.06158317133909,0.692819129345955
12,20,"dopt",1,0.1875,0.376177396931639,2.73598742189443,0.529835607278573
12,30,"random",0.846153846153846,0.6875,0.682125479619647,3.82385575380174,1.85970818871594
