"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
6,20,20,"random",0.8,0.25,0.356453115471603,4.8038594641014,0.289147782703083
6,30,30,"random",1,0.625,0.737209780774486,5.43795939608075,0.219361379135971
6,40,40,"random",0.8,0.5,0.53079104215763,4.46257072103445,0.236417413829025
6,60,60,"random",0.846153846153846,0.6875,0.682125479619647,4.68556238207199,0.191888201547796
6,12,12,"maximin",0.666666666666667,0.25,0.292118697336089,6.73902878553415,0.297763646793321
6,16,16,"maximin",0.5625,0.5625,0.3875,7.43653923152975,0.371786086867404
6,20,20,"maximin",0.875,0.4375,0.53253521010352,4.20553744343973,0.252503534153985
6,30,30,"maximin",0.75,0.5625,0.536719835499101,4.40722652698405,0.196745576497001
6,40,40,"maximin",0.714285714285714,0.625,0.547722557505166,4.72564844318961,0.212005520548412
6,60,60,"maximin",0.866666666666667,0.8125,0.777843589937273,4.22388404581977,0.158233714097207
6,12,12,"dopt",0.6,0.1875,0.217832459454868,4.41166773493702,0.301273358229899
6,16,16,"dopt",0.857142857142857,0.375,0.478091443733757,4.71280169301235,0.243796271928043
6,20,20,"dopt",0.777777777777778,0.4375,0.476641124148257,5.33816756078292,0.248764553451836
6,30,30,"dopt",0.909090909090909,0.625,0.682242292337953,4.1328759226967,0.204002775400522
6,40,40,"dopt",1,0.625,0.737209780774486,3.24863541561375,0.195218215971397
6,60,60,"dopt",0.923076923076923,0.75,0.775750545449794,3.30283520821701,0.130794321960753
7,12,12,"random",0.25,0.0625,-0.0219264504826757,6.56798104446298,0.359908016514075
7,16,16,"random",1,0.125,0.304290309725092,5.96723738884645,0.320371547537441
7,20,20,"random",0.5,0.125,0.131558702896054,6.20364956883358,0.334202473672629
7,30,30,"random",0.333333333333333,0.0625,0.025078493128776,4.78436646183305,0.276821801211533
7,40,40,"random",0.5,0.125,0.131558702896054,3.36198272247879,0.268770309167784
7,60,60,"random",0.818181818181818,0.5625,0.582748624705335,3.86722137943733,0.204755983015078
7,12,12,"maximin",0.5,0.1875,0.16431676725155,8.01635951136931,0.279151813177757
7,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,4.27702767270006,0.261111794856608
7,20,20,"maximin",0.75,0.1875,0.285043856274785,4.38878242127288,0.230734726581753
7,30,30,"maximin",1,0.5,0.645497224367903,4.18779387050549,0.238311164219113
7,40,40,"maximin",0.909090909090909,0.625,0.682242292337953,4.99978691202628,0.218784556896374
7,60,60,"maximin",0.846153846153846,0.6875,0.682125479619647,4.46600467408759,0.187114427591947
7,12,12,"dopt",0.4,0.125,0.0792118034381339,6.63543106829798,0.442332221954898
7,16,16,"dopt",0.333333333333333,0.0625,0.025078493128776,3.80999658173756,0.253767484036202
7,20,20,"dopt",1,0.1875,0.376177396931639,4.07149907321423,0.249779805445467
7,30,30,"dopt",0.666666666666667,0.25,0.292118697336089,3.66182489216863,0.241702461847731
7,40,40,"dopt",0.666666666666667,0.25,0.292118697336089,3.77652715566391,0.25821393281076
7,60,60,"dopt",1,0.6875,0.781735959970572,3.59365304528089,0.158848568185248
8,12,12,"random",0.428571428571429,0.1875,0.119522860933439,12.3860500509471,0.407321806787698
8,16,16,"random",0.555555555555556,0.3125,0.261383842274851,7.37761830021655,0.32936159113549
8,20,20,"random",1,0.125,0.304290309725092,3.50824911686244,0.270909739726572
8,30,30,"random",0.666666666666667,0.125,0.200627945030208,3.7484833221223,0.275761951971887
8,40,40,"random",0.75,0.375,0.419573195839137,4.18389344368253,0.239127882664142
8,60,60,"random",0.857142857142857,0.375,0.478091443733757,3.77194020322054,0.233487711823365
8,12,12,"maximin",0.25,0.0625,-0.0219264504826757,11.8912961143853,0.389842064913551
8,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,4.91216837486939,0.328575450955202
8,20,20,"maximin",0,0,0,4.65876797945959,0.283232606697417
8,30,30,"maximin",1,0.3125,0.495073771488337,3.98064654426054,0.249851501648118
8,40,40,"maximin",1,0.4375,0.597614304667197,3.94542285676574,0.223852853216861
8,60,60,"maximin",1,0.625,0.737209780774486,3.75779497693201,0.162584648654039
8,12,12,"dopt",0,0,0,5.75728295539803,0.283232606697417
8,16,16,"dopt",0.75,0.1875,0.285043856274785,4.07374066211781,0.269249743894267
8,20,20,"dopt",0.8,0.25,0.356453115471603,4.35880589931494,0.274994831098313
8,30,30,"dopt",0.777777777777778,0.4375,0.476641124148257,4.89130091535534,0.213492078581421
8,40,40,"dopt",0.909090909090909,0.625,0.682242292337953,4.05065202565519,0.171170732101582
8,60,60,"dopt",0.909090909090909,0.625,0.682242292337953,3.7895735684388,0.149745392694366
9,12,12,"random",0.166666666666667,0.0625,-0.0912870929175277,8.2482437768371,0.539064633431709
9,16,16,"random",0.166666666666667,0.0625,-0.0912870929175277,7.58340927040234,0.477613118103481
9,20,20,"random",0.3,0.1875,0.0147441956154897,7.07950289999534,0.396527757021929
9,30,30,"random",0.4,0.25,0.117953564923918,5.26928814789697,0.303395870953308
9,40,40,"random",0.8,0.25,0.356453115471603,4.49185519842082,0.249967738752315
9,60,60,"random",0.666666666666667,0.5,0.440385506050544,3.66938013270033,0.211105699345086
9,12,12,"maximin",1,0.125,0.304290309725092,4.86696933614907,0.237959136042049
9,16,16,"maximin",1,0.125,0.304290309725092,5.08307735202648,0.246359881552604
9,20,20,"maximin",0.666666666666667,0.125,0.200627945030208,5.68327414153004,0.242072644661342
9,30,30,"maximin",0.875,0.4375,0.53253521010352,4.70088033376395,0.154508740969892
9,40,40,"maximin",0.875,0.4375,0.53253521010352,4.50882060822958,0.15713598592918
9,60,60,"maximin",1,0.625,0.737209780774486,3.27985755438162,0.111644535399501
9,12,12,"dopt",1,0.125,0.304290309725092,5.15601580718608,0.235364088490461
9,16,16,"dopt",0.5,0.125,0.131558702896054,4.3101732461742,0.240144866892248
9,20,20,"dopt",0.75,0.1875,0.285043856274785,5.24975554696727,0.29984795193144
9,30,30,"dopt",0.833333333333333,0.3125,0.419920627420627,3.77845168689793,0.212114447764869
9,40,40,"dopt",0.857142857142857,0.375,0.478091443733757,3.75696948742198,0.204992954944406
9,60,60,"dopt",0.846153846153846,0.6875,0.682125479619647,3.41535494905783,0.140017500041491
10,12,12,"random",0.5,0.1875,0.16431676725155,4.24956812856914,0.277712740448895
10,16,16,"random",0.6,0.1875,0.217832459454868,5.31393813309853,0.298083601495671
10,20,20,"random",0.5,0.0625,0.0912870929175277,3.26577154794141,0.266430542087392
10,30,30,"random",0.571428571428571,0.25,0.239045721866879,4.80200762395537,0.258801170584956
10,40,40,"random",1,0.25,0.438529009653515,3.59011518965615,0.225801562545795
10,60,60,"random",0.7,0.4375,0.427581672849202,4.55295896743903,0.23358637762983
10,12,12,"maximin",0,0,0,4.30911455136424,0.258229597662076
10,16,16,"maximin",0,0,-0.0852802865422442,3.79482338317211,0.258788494444682
10,20,20,"maximin",0.833333333333333,0.3125,0.419920627420627,4.01947248997643,0.231550494178544
10,30,30,"maximin",1,0.375,0.547722557505166,4.15554852529652,0.188884089345649
10,40,40,"maximin",0.909090909090909,0.625,0.682242292337953,4.44804594505998,0.149575244439083
10,60,60,"maximin",0.769230769230769,0.625,0.588500413789499,3.66941739511647,0.147533609278636
10,12,12,"dopt",0.6,0.1875,0.217832459454868,8.67895245174103,0.360633768674272
10,16,16,"dopt",0,0,0,7.2131730753608,0.258229597662076
10,20,20,"dopt",1,0.125,0.304290309725092,6.82610663270799,0.253383764791697
10,30,30,"dopt",1,0.25,0.438529009653515,6.03763795273505,0.247915753189233
10,40,40,"dopt",0.9,0.5625,0.634000411466058,4.38065953595473,0.188252570616532
10,60,60,"dopt",1,0.625,0.737209780774486,3.97884815378939,0.144161908587838
11,12,12,"random",0.5,0.125,0.131558702896054,6.15486186099597,0.285135696570989
11,16,16,"random",0.4,0.125,0.0792118034381339,7.42693625924493,0.320666347768889
11,20,20,"random",1,0.0625,0.21320071635561,5.46815650264701,0.27607622670737
11,30,29,"random",0,0,-0.0852802865422442,3.61106359164669,0.299322378437741
11,40,39,"random",0.666666666666667,0.125,0.200627945030208,4.34729667494676,0.26994074211032
11,60,58,"random",0.8,0.25,0.356453115471603,3.91075463837784,0.250778362307576
11,12,11,"maximin",0.5,0.0625,0.0912870929175277,8.89141110397461,0.355400374002301
11,16,14,"maximin",0,0,0,4.9871368014157,0.270333519985746
11,20,18,"maximin",1,0.0625,0.21320071635561,3.54048901740821,0.284552329433137
11,30,27,"maximin",0.714285714285714,0.3125,0.358568582800318,3.77616316288665,0.239772804162094
11,40,37,"maximin",0.714285714285714,0.3125,0.358568582800318,3.86565915033271,0.236829696592353
11,60,57,"maximin",1,0.75,0.82572282384477,3.93592627942279,0.141710425704027
11,12,12,"dopt",0.6,0.1875,0.217832459454868,8.51218885522798,0.253156359104828
11,16,16,"dopt",0.75,0.375,0.419573195839137,7.12582154747025,0.357602456528808
11,20,19,"dopt",0.636363636363636,0.4375,0.383761289440099,6.1034712056685,0.284812151880288
11,30,26,"dopt",0.75,0.375,0.419573195839137,4.90017202464242,0.250317334893299
11,40,35,"dopt",0.777777777777778,0.4375,0.476641124148257,5.45984962643428,0.252640009085702
11,60,53,"dopt",0.75,0.5625,0.536719835499101,3.85008238483215,0.192157209441419
12,12,12,"random",0.6,0.1875,0.217832459454868,8.18955826923479,0.439353349528359
12,16,16,"random",0,0,0,6.41270422460169,0.247237019327579
12,20,20,"random",0,0,-0.0852802865422442,5.97156129948357,0.260225648589402
12,30,30,"random",1,0.25,0.438529009653515,7.40049787127972,0.231932348387988
12,40,40,"random",0.75,0.375,0.419573195839137,4.62675928207414,0.197642729299897
12,60,60,"random",0.75,0.375,0.419573195839137,4.21893999467434,0.18768898743049
12,12,12,"maximin",0.5,0.125,0.131558702896054,5.92554053160059,0.269448437293916
12,16,16,"maximin",0.3,0.1875,0.0147441956154897,6.47831142056449,0.367488506366054
12,20,20,"maximin",0.666666666666667,0.125,0.200627945030208,4.98997537254693,0.249286516972586
12,30,30,"maximin",0.8,0.25,0.356453115471603,4.58729377602704,0.20484433868281
12,40,40,"maximin",0.75,0.1875,0.285043856274785,3.40033999093788,0.206357725536959
12,60,60,"maximin",0.857142857142857,0.375,0.478091443733757,3.60982182106977,0.186264374761705
12,12,12,"dopt",0.333333333333333,0.125,0.0365148371670111,4.73248427536043,0.276015367547944
12,16,16,"dopt",0.75,0.1875,0.285043856274785,3.88998038906248,0.206238178315491
12,20,20,"dopt",0.8,0.25,0.356453115471603,5.53131080579799,0.227620212141285
12,30,30,"dopt",1,0.5,0.645497224367903,3.34024003279256,0.148470487722718
12,40,40,"dopt",0.75,0.375,0.419573195839137,3.33365843948495,0.183635863633079
12,60,60,"dopt",0.75,0.375,0.419573195839137,3.62078340139848,0.163117494095645
13,12,12,"random",0.5,0.125,0.131558702896054,9.17959094801616,0.518888089529493
13,16,16,"random",0,0,-0.175411603861406,5.89796013819674,0.491416311077308
13,20,20,"random",0,0,-0.175411603861406,5.97799749832071,0.399943226138115
13,30,30,"random",1,0.1875,0.376177396931639,4.39231183324041,0.256405871432233
13,40,40,"random",0.428571428571429,0.1875,0.119522860933439,5.2833452514508,0.308638982988927
13,60,60,"random",0.75,0.5625,0.536719835499101,4.75016077345443,0.239000526080681
13,12,12,"maximin",0.333333333333333,0.0625,0.025078493128776,10.3235821088373,0.289480861960575
13,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,6.71629775351482,0.277352852760019
13,20,20,"maximin",0.75,0.1875,0.285043856274785,6.19327717488322,0.239459835635689
13,30,30,"maximin",0.75,0.375,0.419573195839137,6.11261689956886,0.243743161515934
13,40,40,"maximin",1,0.375,0.547722557505166,3.07810049064748,0.173808957410232
13,60,60,"maximin",0.769230769230769,0.625,0.588500413789499,3.79131936078336,0.159997812533274
13,12,12,"dopt",0.75,0.1875,0.285043856274785,5.62369197203663,0.305516569859128
13,16,16,"dopt",1,0.0625,0.21320071635561,3.60150961251775,0.261930323716638
