"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
7,20,20,"maximin",0.625,0.3125,0.306611181574754,5.49561521087177,0.298492461899792
7,30,30,"maximin",0.875,0.4375,0.53253521010352,4.87380187976591,0.248783735428133
7,40,40,"maximin",0.875,0.4375,0.53253521010352,4.49333316457756,0.207171751330409
7,60,60,"maximin",1,0.5,0.645497224367903,3.88654062023212,0.159999357691582
7,12,12,"dopt",0.6,0.1875,0.217832459454868,3.81962313886424,0.254573095021937
7,16,16,"dopt",0.5,0.125,0.131558702896054,4.94824920853199,0.290878479141098
7,20,20,"dopt",1,0.3125,0.495073771488337,3.96309733137952,0.214984319261417
7,30,30,"dopt",1,0.375,0.547722557505166,4.66540888659098,0.221885343829885
7,40,40,"dopt",1,0.4375,0.597614304667197,4.4993733069644,0.214912599947837
7,60,60,"dopt",1,0.6875,0.781735959970572,3.47120121467501,0.152018065190855
8,12,12,"random",0.5,0.125,0.131558702896054,12.2593435354511,0.429342179087062
8,16,16,"random",0.625,0.3125,0.306611181574754,7.58687800204699,0.375772112620411
8,20,20,"random",0.75,0.1875,0.285043856274785,4.14417330054891,0.222895878645321
8,30,30,"random",0.666666666666667,0.125,0.200627945030208,3.40777495845198,0.259422943333129
8,40,40,"random",0.571428571428571,0.25,0.239045721866879,4.10134485760815,0.207535231900401
8,60,60,"random",0.75,0.375,0.419573195839137,3.80256358959526,0.217237844581901
8,12,12,"maximin",0,0,0,6.99728341666208,0.272119544723638
8,16,16,"maximin",1,0.1875,0.376177396931639,5.58142938484372,0.258739743707866
8,20,20,"maximin",1,0.125,0.304290309725092,5.22964505813823,0.241524022742285
8,30,30,"maximin",1,0.25,0.438529009653515,4.44716857431756,0.215883292857106
8,40,40,"maximin",1,0.375,0.547722557505166,3.72538769430814,0.174614378753132
8,60,60,"maximin",0.909090909090909,0.625,0.682242292337953,4.11661620254316,0.140657008742827
8,12,12,"dopt",0.75,0.1875,0.285043856274785,4.70585707217093,0.260493578102085
8,16,16,"dopt",0.666666666666667,0.125,0.200627945030208,5.07480684275176,0.281840048073994
8,20,20,"dopt",0.8,0.25,0.356453115471603,5.26214662380155,0.258633874466977
8,30,30,"dopt",1,0.375,0.547722557505166,4.79017349011168,0.190517304488596
8,40,40,"dopt",0.888888888888889,0.5,0.58426976508496,4.60343043784329,0.188090762851442
8,60,60,"dopt",1,0.5,0.645497224367903,3.51611301077835,0.155394167635907
9,12,12,"random",0,0,-0.175411603861406,7.43290710864516,0.445022837072355
9,16,16,"random",0.5,0.0625,0.0912870929175277,6.57961469986404,0.386925429886097
9,20,20,"random",0.333333333333333,0.0625,0.025078493128776,5.33518192686497,0.212796519093
9,30,30,"random",0.571428571428571,0.25,0.239045721866879,4.68757440230202,0.253887965271714
9,40,40,"random",0.571428571428571,0.25,0.239045721866879,4.07303693694217,0.219990791433319
9,60,60,"random",0.857142857142857,0.375,0.478091443733757,3.28782999283338,0.160148628218331
9,12,12,"maximin",1,0.1875,0.376177396931639,5.56540127469321,0.249505815186091
9,16,16,"maximin",1,0.3125,0.495073771488337,6.29463160760846,0.277351625525587
9,20,20,"maximin",0.75,0.1875,0.285043856274785,4.68851915267896,0.207811426214734
